horizon_days,model,mae,rmse,wmape
1,timesfm,2712.37703125,2712.3770157851495,0.05528232598611794
1,seasonal7,3992.67,3992.6700113681213,0.08005509441485628
1,naive_last,10222.9575,10222.957483848033,0.21207749559893274
7,timesfm,3251.409783782959,5461.045876098693,0.06192378646228462
7,seasonal7,4209.887134494781,8542.725620324582,0.08031834394787438
7,naive_last,9653.403885498046,11957.180248475306,0.1864560605585575
30,timesfm,3461.9794393920897,7564.950939376718,0.0663262502849102
30,seasonal7,4443.227676544189,10382.059445698877,0.08518453745171428
30,naive_last,9805.325189208985,12898.147235534181,0.18859192602336405
