date,route,timesfm_p50_passengers,timesfm_q10_passengers,timesfm_q90_passengers,uncertainty_band,demand_index_vs_last7
2017-08-16,AER-SVO,313.0891418457031,276.7389221191406,343.70098876953125,66.96206665039062,-0.025078281651370306
2017-08-17,AER-SVO,314.0395812988281,275.3402099609375,344.9879150390625,69.647705078125,-0.022118728163169003
2017-08-18,AER-SVO,305.8931884765625,265.9403381347656,336.8423767089844,70.90203857421875,-0.047485609992540444
2017-08-19,AER-SVO,317.7718811035156,277.1699523925781,348.57598876953125,71.40603637695312,-0.010496798044782815
2017-08-20,AER-SVO,316.66790771484375,275.43994140625,346.99493408203125,71.55499267578125,-0.013934437636218796
2017-08-21,AER-SVO,302.610595703125,260.9246826171875,332.57659912109375,71.65191650390625,-0.05770720681391487
2017-08-22,AER-SVO,313.59515380859375,271.8946838378906,343.82452392578125,71.92984008789062,-0.0235026216080918
2017-08-23,AER-SVO,316.69769287109375,275.1535339355469,347.0914306640625,71.93789672851562,-0.013841690262583922
2017-08-24,AER-SVO,315.191162109375,273.0197448730469,345.7060852050781,72.68634033203125,-0.018532844818792037
2017-08-25,AER-SVO,304.41455078125,262.03564453125,334.9285583496094,72.89291381835938,-0.05208990891401263
2017-08-26,AER-SVO,318.291015625,275.7244567871094,348.8650207519531,73.14056396484375,-0.00888027594139878
2017-08-27,AER-SVO,312.25653076171875,269.7620849609375,342.93408203125,73.1719970703125,-0.027670931851042673
2017-08-28,AER-SVO,297.9105529785156,255.33200073242188,328.5384521484375,73.20645141601562,-0.0723425713230136
2017-08-29,AER-SVO,307.5038757324219,264.7021484375,338.77020263671875,74.06805419921875,-0.042470124712750544
2017-08-16,AER-VKO,171.9443359375,143.7963104248047,198.8213653564453,55.025054931640625,-0.1571356073792372
2017-08-17,AER-VKO,176.98446655273438,145.38612365722656,206.9712677001953,61.58514404296875,-0.1324290848766497
2017-08-18,AER-VKO,187.22024536132812,152.9244384765625,220.54055786132812,67.61611938476562,-0.08225369880597146
2017-08-19,AER-VKO,185.34901428222656,149.4923553466797,220.43516540527344,70.94281005859375,-0.09142640012915214
2017-08-20,AER-VKO,185.07896423339844,146.89797973632812,221.4027557373047,74.50477600097656,-0.09275017487182052
2017-08-21,AER-VKO,185.2921600341797,145.61199951171875,221.7668914794922,76.15489196777344,-0.09170509742213341
2017-08-22,AER-VKO,176.02931213378906,135.7953643798828,213.54994201660156,77.75457763671875,-0.13711121435833198
2017-08-23,AER-VKO,176.30149841308594,136.0015869140625,215.04039001464844,79.03880310058594,-0.13577696789773086
2017-08-24,AER-VKO,182.83901977539062,141.28981018066406,222.430419921875,81.14060974121094,-0.10373029471019157
2017-08-25,AER-VKO,195.47894287109375,154.0453338623047,235.5225830078125,81.47724914550781,-0.04176988768204099
2017-08-26,AER-VKO,188.8057098388672,146.7951202392578,229.32635498046875,82.53123474121094,-0.07448181415024999
2017-08-27,AER-VKO,183.14797973632812,142.06417846679688,224.3118438720703,82.24766540527344,-0.10221578510517691
2017-08-28,AER-VKO,178.1243438720703,136.828125,219.60317993164062,82.77505493164062,-0.12684145098572666
2017-08-29,AER-VKO,166.1591339111328,124.1462631225586,209.53012084960938,85.38385772705078,-0.18549444070280757
2017-08-16,DME-KHV,188.83743286132812,152.6859130859375,222.06021118164062,69.37429809570312,-0.12285203003542566
2017-08-17,DME-KHV,203.87001037597656,165.25930786132812,238.05755615234375,72.79824829101562,-0.05302585955276643
2017-08-18,DME-KHV,213.51931762695312,173.6839141845703,248.2798614501953,74.595947265625,-0.008204924986509076
2017-08-19,DME-KHV,216.8910675048828,176.33474731445312,252.06549072265625,75.73074340820312,0.007456819087105958
2017-08-20,DME-KHV,211.50750732421875,170.0850372314453,246.28506469726562,76.20002746582031,-0.017549763490791754
2017-08-21,DME-KHV,199.6803436279297,157.61489868164062,235.0302276611328,77.41532897949219,-0.07248681921384764
2017-08-22,DME-KHV,202.5082244873047,159.91278076171875,238.21238708496094,78.29960632324219,-0.059351341229519704
2017-08-23,DME-KHV,209.11724853515625,166.5037841796875,245.2333984375,78.7296142578125,-0.028652491385599888
2017-08-24,DME-KHV,214.6909942626953,171.45274353027344,251.510498046875,80.05775451660156,-0.002762498866426905
2017-08-25,DME-KHV,216.6372528076172,173.30630493164062,253.84642028808594,80.54011535644531,0.006277852385952808
2017-08-26,DME-KHV,215.31983947753906,171.8106689453125,252.93435668945312,81.12368774414062,0.00015848079498487682
2017-08-27,DME-KHV,199.195068359375,155.6181182861328,237.45819091796875,81.84007263183594,-0.0747409179271321
2017-08-28,DME-KHV,186.59567260742188,143.10870361328125,224.81610107421875,81.7073974609375,-0.13326498373667708
2017-08-29,DME-KHV,191.73829650878906,146.87191772460938,231.22915649414062,84.35723876953125,-0.1093775477387486
2017-08-16,DME-KRR,167.65011596679688,137.21139526367188,197.70164489746094,60.49024963378906,-0.11696705369577083
2017-08-17,DME-KRR,186.63499450683594,154.50021362304688,217.65365600585938,63.1534423828125,-0.016971458489840892
2017-08-18,DME-KRR,200.86619567871094,167.88571166992188,232.51004028320312,64.62432861328125,0.05798595715418041
2017-08-19,DME-KRR,184.7158966064453,151.36837768554688,216.79580688476562,65.42742919921875,-0.027079573556434103
2017-08-20,DME-KRR,178.73553466796875,144.94729614257812,210.7991485595703,65.85185241699219,-0.058578845480858135
2017-08-21,DME-KRR,186.38784790039062,152.36380004882812,218.54275512695312,66.178955078125,-0.018273208825641242
2017-08-22,DME-KRR,174.30564880371094,139.95864868164062,206.36981201171875,66.41116333007812,-0.08191157698907267
2017-08-23,DME-KRR,175.43692016601562,141.1623077392578,207.63050842285156,66.46820068359375,-0.07595303725048513
2017-08-24,DME-KRR,188.42041015625,153.7050323486328,221.06077575683594,67.35574340820312,-0.007567463611674355
2017-08-25,DME-KRR,204.04693603515625,169.2450408935547,237.0888671875,67.84382629394531,0.07473929189200783
2017-08-26,DME-KRR,186.90248107910156,152.12307739257812,220.13026428222656,68.00718688964844,-0.015562575154249103
2017-08-27,DME-KRR,176.0645294189453,141.2980194091797,209.1962890625,67.89826965332031,-0.07264734526667305
2017-08-28,DME-KRR,181.54441833496094,146.98275756835938,214.68751525878906,67.70475769042969,-0.0437841237999829
2017-08-29,DME-KRR,173.21022033691406,137.90200805664062,207.26815795898438,69.36614990234375,-0.08768132796808775
2017-08-16,DME-KUF,133.9033966064453,112.12940979003906,154.76687622070312,42.63746643066406,-0.07561760496594826
2017-08-17,DME-KUF,142.19778442382812,119.12773132324219,164.03427124023438,44.90653991699219,-0.018358519587785067
2017-08-18,DME-KUF,150.05755615234375,126.15474700927734,172.48941040039062,46.33466339111328,0.03590025759559902
2017-08-19,DME-KUF,157.51564025878906,133.27304077148438,180.33120727539062,47.05816650390625,0.08738604340772446
2017-08-20,DME-KUF,150.07923889160156,125.42280578613281,173.28012084960938,47.85731506347656,0.03604994119440466
2017-08-21,DME-KUF,133.00987243652344,108.29594421386719,156.28427124023438,47.98832702636719,-0.08178591754783482
2017-08-22,DME-KUF,129.62709045410156,104.87559509277344,152.99996948242188,48.12437438964844,-0.10513845502399112
2017-08-23,DME-KUF,133.33218383789062,108.71044158935547,156.626220703125,47.91577911376953,-0.07956088823216165
2017-08-24,DME-KUF,142.037109375,117.17269897460938,165.6701202392578,48.49742126464844,-0.019467716136288525
2017-08-25,DME-KUF,148.860595703125,123.95980834960938,172.57461547851562,48.61480712890625,0.027637217324867274
2017-08-26,DME-KUF,156.81634521484375,131.9105682373047,180.41006469726562,48.49949645996094,0.0825585630068351
2017-08-27,DME-KUF,149.4561767578125,124.62091064453125,172.8462371826172,48.22532653808594,0.03174872346743014
2017-08-28,DME-KUF,133.1062469482422,108.08226013183594,156.56956481933594,48.4873046875,-0.0811206102923412
2017-08-29,DME-KUF,129.50953674316406,104.0069808959961,153.33360290527344,49.326622009277344,-0.10594996976375091
