horizon_days,model,mae,rmse,wmape
1,timesfm,18.073401514689127,18.073401588414523,0.08212160993134603
1,seasonal7,20.483333333333334,20.483333333333334,0.09903279866557568
1,naive_last,21.6,21.6,0.10281943238029877
7,timesfm,17.652479775746663,21.651721499932915,0.08005938508237402
7,naive_last,19.833333373069763,23.542917394809376,0.09136431018511454
7,seasonal7,20.807142861684163,25.455349538897394,0.09585157272716363
14,timesfm,24.95820529460907,31.953395832415204,0.10421102692683538
14,naive_last,27.170238002141318,33.88612568211415,0.11416498627513647
14,seasonal7,27.632142702738445,34.71017433893137,0.11767723690718412
