anchor_ts,horizon_hours,model,mae,rmse,wmape
2024-07-15 23:00:00,1,timesfm,8.630123138427734,8.630123220118795,0.287670761346817
2024-07-15 23:00:00,1,naive_last,23.0,23.0,0.7666666507720947
2024-07-15 23:00:00,1,seasonal24,14.0,14.0,0.46666666865348816
2024-07-15 23:00:00,1,seasonal168,10.0,10.0,0.3333333432674408
2024-07-15 23:00:00,24,timesfm,4.7076334953308105,6.415701095791255,0.11756837368011475
2024-07-15 23:00:00,24,naive_last,12.958333015441895,14.354151725299886,0.3236212134361267
2024-07-15 23:00:00,24,seasonal24,7.041666507720947,9.275864602479661,0.1758584827184677
2024-07-15 23:00:00,24,seasonal168,7.833333492279053,9.3229107109065,0.1956295520067215
2024-07-15 23:00:00,168,timesfm,4.5911030769348145,5.903099875045791,0.11982372403144836
2024-07-15 23:00:00,168,naive_last,14.767857551574707,15.8183515374178,0.38542798161506653
2024-07-15 23:00:00,168,seasonal24,7.267857074737549,9.230836141783952,0.18968462944030762
2024-07-15 23:00:00,168,seasonal168,7.386904716491699,9.309173604343233,0.1927916705608368
2024-10-07 23:00:00,1,timesfm,3.244403839111328,3.2444038628808336,0.09269725531339645
2024-10-07 23:00:00,1,naive_last,9.0,9.0,0.2571428716182709
2024-10-07 23:00:00,1,seasonal24,8.0,8.0,0.22857142984867096
2024-10-07 23:00:00,1,seasonal168,1.0,1.0,0.02857142873108387
2024-10-07 23:00:00,24,timesfm,3.582700729370117,4.21802384520185,0.09715798497200012
2024-10-07 23:00:00,24,naive_last,7.375,8.157307406462941,0.20000000298023224
2024-10-07 23:00:00,24,seasonal24,5.708333492279053,6.425859315160301,0.15480226278305054
2024-10-07 23:00:00,24,seasonal168,5.875,7.73789377027108,0.15932203829288483
2024-10-07 23:00:00,168,timesfm,4.345433712005615,5.557921164509122,0.11292077600955963
2024-10-07 23:00:00,168,naive_last,6.708333492279053,7.850917504990485,0.17432327568531036
2024-10-07 23:00:00,168,seasonal24,5.315476417541504,6.728139163089628,0.1381283849477768
2024-10-07 23:00:00,168,seasonal168,6.785714149475098,8.428268695040565,0.17633411288261414
2024-11-04 23:00:00,1,timesfm,7.421669006347656,7.421668891052603,0.2559196352958679
2024-11-04 23:00:00,1,naive_last,11.0,11.0,0.37931033968925476
2024-11-04 23:00:00,1,seasonal24,8.0,8.0,0.27586206793785095
2024-11-04 23:00:00,1,seasonal168,11.0,11.0,0.37931033968925476
2024-11-04 23:00:00,24,timesfm,4.296014785766602,5.361836304752315,0.11255934089422226
2024-11-04 23:00:00,24,naive_last,4.416666507720947,5.634713834792322,0.11572052538394928
2024-11-04 23:00:00,24,seasonal24,5.458333492279053,7.0622234459127675,0.1430131047964096
2024-11-04 23:00:00,24,seasonal168,5.458333492279053,6.754628043053148,0.1430131047964096
2024-11-04 23:00:00,168,timesfm,4.805325031280518,5.904797895236868,0.12832532823085785
2024-11-04 23:00:00,168,naive_last,5.3035712242126465,6.384971150905883,0.14163090288639069
2024-11-04 23:00:00,168,seasonal24,6.38095235824585,7.901175215985352,0.1704021692276001
2024-11-04 23:00:00,168,seasonal168,6.125,7.734816166789822,0.16356700658798218
2024-12-02 23:00:00,1,timesfm,0.011730194091796875,0.011730194091796875,0.0003170322743244469
2024-12-02 23:00:00,1,naive_last,4.0,4.0,0.10810811072587967
2024-12-02 23:00:00,1,seasonal24,8.0,8.0,0.21621622145175934
2024-12-02 23:00:00,1,seasonal168,12.0,12.0,0.3243243098258972
2024-12-02 23:00:00,24,timesfm,5.21811056137085,6.521431437434887,0.13524259626865387
2024-12-02 23:00:00,24,naive_last,5.583333492279053,6.922186644278845,0.14470842480659485
2024-12-02 23:00:00,24,seasonal24,8.458333015441895,9.951967851813789,0.21922245621681213
2024-12-02 23:00:00,24,seasonal168,6.375,8.369089802573226,0.1652267873287201
2024-12-02 23:00:00,168,timesfm,4.914172649383545,6.085178705003344,0.12968598306179047
2024-12-02 23:00:00,168,naive_last,5.4285712242126465,6.80860803704396,0.14326107501983643
2024-12-02 23:00:00,168,seasonal24,7.8035712242126465,9.874510161407217,0.20593778789043427
2024-12-02 23:00:00,168,seasonal168,7.011904716491699,8.962886581702618,0.18504555523395538
2024-12-16 23:00:00,1,timesfm,13.536270141601562,13.53627002091424,0.56401127576828
2024-12-16 23:00:00,1,naive_last,19.0,19.0,0.7916666865348816
2024-12-16 23:00:00,1,seasonal24,15.0,15.0,0.625
2024-12-16 23:00:00,1,seasonal168,14.0,14.0,0.5833333134651184
2024-12-16 23:00:00,24,timesfm,4.154541492462158,5.7372547371495815,0.10981166362762451
2024-12-16 23:00:00,24,naive_last,6.333333492279053,7.7190240355739,0.16740088164806366
2024-12-16 23:00:00,24,seasonal24,6.458333492279053,7.892507075589633,0.17070484161376953
2024-12-16 23:00:00,24,seasonal168,6.708333492279053,8.595056718835542,0.17731277644634247
2024-12-16 23:00:00,168,timesfm,4.728871822357178,5.991766048167816,0.12440501898527145
2024-12-16 23:00:00,168,naive_last,6.488095283508301,7.785058985139394,0.17068587243556976
2024-12-16 23:00:00,168,seasonal24,7.136904716491699,8.866402773646776,0.18775446712970734
2024-12-16 23:00:00,168,seasonal168,6.5714287757873535,8.441676483700897,0.1728781759738922
