horizon_days,model,mae,rmse,wmape
1,seasonal7,171.2,171.2,0.003607947373529896
1,timesfm,186.41171875,186.411717781623,0.003886326655629091
1,naive_last,643.2,643.2,0.013572559622116388
7,timesfm,696.3694091796875,903.9631605785896,0.014621697552502155
7,seasonal7,811.0285827636719,972.5577335930072,0.016941018961369993
7,naive_last,1278.4285766601563,1477.681441995557,0.02680041380226612
30,timesfm,719.5448364257812,915.3975654604765,0.014791861176490784
30,seasonal7,1238.0266662597655,1425.6493067239912,0.025220666080713272
30,naive_last,1450.0400024414062,1697.0463980104516,0.03011908233165741
