date,patients_p50,patients_q10,patients_q90,is_holiday,doctors_needed,emergency_nurses_needed,beds_to_allocate
2024-05-27,44940.63,43379.766,46012.84,True,1315,3835,48314
2024-06-19,46718.605,45129.02,47847.703,True,1368,3988,50241
2024-07-04,46501.293,44945.703,47646.633,True,1362,3971,50029
