horizon,model,mae,rmse,wmape
1,timesfm,317.30322265625,317.3032201532872,0.012717351950414013
1,seasonal24,958.5,958.5,0.03695192010309256
1,naive_last,2060.5,2060.5,0.08202790189534426
24,seasonal24,932.3645858764648,1073.8593978637587,0.03206704277545214
24,timesfm,1331.1282043457031,1547.1732455276117,0.046823276905342937
24,naive_last,3914.6563415527344,4348.16699842179,0.13149035535752773
168,timesfm,1492.2343292236328,1890.6730010216424,0.04954171273857355
168,seasonal24,2350.6755981445312,2927.126091957028,0.0780135402455926
168,naive_last,4030.1607666015625,4719.519121080352,0.13530710525810719
